ts,mint,channel,bet_sol,entry,exit,ath,pnl_pct,tx,notified,note
2026-07-03T11:32:08+00:00,2cXpN6YbP9p9MMgeTEds4sZgeRnqNJ8nJ4DB62VBpump,,123,,,,26.0,,,GIGABULL +$32
2026-07-03T11:32:08+00:00,2NsN1aS6LYzuoSFSDFq7CekcSyKSyA3qYoKngNWepump,,100,,,,32.0,,,ANSEMBULL +$32
2026-07-03T11:32:09+00:00,FFaw7K4kCeeTbAtXoBbYbxSCLgNx7LTaCG4DjpvHpump,,78,,,,18.0,,,TRIPLEA +$14
2026-07-03T11:32:09+00:00,7SoBgBncbcC8U6fmdGJPfi7dNM26aTJPxfhAGoLPpump,,9,,,,22.0,,,ANSEMTRENCH +$2
2026-07-10T16:25:17+00:00,4t1xhKJd6oFGr98oWJoxYjLU74eFe7xiYSRDoX18pump,8843139185,0.001,,,,,25KZjyVKiRMfyiecSjccQGZJpqu1XfSYMAFsmSL2D2pHseMHLopG1VhupTr5oEf5arty6xP1XpmrzVFyDEuyLCFW,False,https://gmgn.ai/sol/token/4t1xhKJd6oFGr98oWJoxYjLU74eFe7xiYSRDoX18pump
2026-07-10T16:35:49+00:00,4t1xhKJd6oFGr98oWJoxYjLU74eFe7xiYSRDoX18pump,8843139185,0.001,,,,,4cdtDc78CZHyPf6phSMq5ErU6XouCTHfmX9UVwvACA7XMibr5vEnHZTrMnL7w6S83nZQXitP43EpaUt17ZxrPbiJ,True,https://gmgn.ai/sol/token/4t1xhKJd6oFGr98oWJoxYjLU74eFe7xiYSRDoX18pump
2026-07-10T16:39:39+00:00,4t1xhKJd6oFGr98oWJoxYjLU74eFe7xiYSRDoX18pump,8843139185,0.001,,,,,2c7b5wmt9tHUzH1x3j9S55FJ5gn9TWrB7evNTqPjK9Zwmx66wmYmk4qsQskkPCbeGmm2zoJPgJ1dJrvxL85UwnHy,True,https://gmgn.ai/sol/token/4t1xhKJd6oFGr98oWJoxYjLU74eFe7xiYSRDoX18pump
2026-07-10T16:45:19+00:00,HHi9GXkuBchA2LugrZvTLNhzoChAZFkvQNjeDagcpump,8843139185,0.001,,,,,woCAh2eeQ6GbEdLYvAXJj8wxaJvCJ5jVFmJNYMZQ7A3PsEASGav7SDUNnUXkeVaYFikbk8a6VoFmE9bMzQ36Uy6,True,https://gmgn.ai/sol/token/HHi9GXkuBchA2LugrZvTLNhzoChAZFkvQNjeDagcpump
2026-07-10T16:46:02+00:00,HM2SSkV3FrLhdZQo3PSZFezYXbEHi3U1icvJmYZqpump,8843139185,0.001,,,,,1Ny3Yy4Zxgq7DGy4wr8sYSBKun4sQ4LgSvUfkCWeXxMSZUoPtgDqREubeTtzV5XdChMGQyZjFgWEp4udEAHAqJi,True,https://gmgn.ai/sol/token/HM2SSkV3FrLhdZQo3PSZFezYXbEHi3U1icvJmYZqpump
2026-07-10T18:07:37+00:00,7KaHkMA9YM3iULRArgXVTCWBJrj8ZarHdkVyZfMfpump,-1003199643029,0.43,,,,,3b5pbeniiR3YkYAEaUPcJEcGnMKz5gw2W9hR8X3bJ3g8bY2V8jJ8ZqsWD5CSwyVV2gSNVZA5VeSmVbiR9r5bEdJw,True,https://gmgn.ai/sol/token/7KaHkMA9YM3iULRArgXVTCWBJrj8ZarHdkVyZfMfpump
2026-07-11T19:04:47+00:00,72d48Lv1Pvk7DMJowNeLqbEa2PEWGcUppk6WbtxTpump,-1002467995550,0.4,,,,,53v5GLPcCcXj8ZNUD2wBAGbnoJsoyAwEeSuJyrQvPTtATjgPCJ9K7demxmPnqeRptH6pSWCSQ53WxCsKU72NsT3n,True,https://gmgn.ai/sol/token/72d48Lv1Pvk7DMJowNeLqbEa2PEWGcUppk6WbtxTpump
